probe_N;probe_NE;probe_E;probe_S;probe_SW;probe_W;probe_NW
0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.9567472548601003;1.1162051306701168;0.6383589288880124;1.4720995496478237;0.944239248980185;1.0437242780292002;1.397406778882803
1.9134945097202005;2.2324102613402337;1.2767178577760248;2.9441990992956475;1.88847849796037;2.0874485560584004;2.794813557765606
2.8702417645803013;3.348615392010351;1.9150767866640375;4.416298648943471;2.832717746940556;3.131172834087602;4.1922203366484085
3.826989019440401;4.464820522680467;2.5534357155520495;5.888398198591295;3.77695699592074;4.174897112116801;5.589627115531212
4.7837362743005025;5.581025653350584;3.191794644440063;7.360497748239119;4.721196244900925;5.218621390146002;7.03617041613383
5.740483529160603;6.697230784020702;3.830153573328075;8.832597297886942;5.665435493881112;6.262345668175204;8.6698393517533
6.697230784020702;7.66360972265456;4.468512502216087;10.304696847534768;6.609674742861296;7.4092994756456525;10.277150533836314
7.816195870859908;8.62998866128842;5.106871431104099;12.104490726423133;7.438922957234664;8.629988661288422;11.835311531380713
8.93011417385196;9.602345508631204;5.745230359992111;13.904284605311505;8.256418682861804;9.830490711542575;13.392615498598175
10.030574386584934;10.566301852309287;6.383589288880126;14.610630590871994;9.076660481984772;11.008395995068955;15.133866151238696
11.105325296747523;11.508406401072254;6.978361985050359;15.316976576432484;9.899213141928634;12.171547615211752;16.982910829431187
12.171547615211752;12.450510949835216;7.531035151671526;16.023322561992977;10.708789810013663;15.040713521617619;18.901608882823965
12.846526806305912;13.392615498598177;8.083708318292691;16.729668547553466;11.505457468083184;18.286861791532246;20.84291548690304
13.519021778831952;14.442712890150673;8.636421030183831;17.43601453311396;12.302712050902667;19.206671349179242;22.790936630064635
14.239285728806351;15.600604307255145;9.192512969300806;17.899508649395177;13.099673171347167;20.126480906826224;24.74332023659129
15.040713521617613;16.758495724359616;9.748604908417786;18.363002765676402;13.904284605311505;21.04629046447321;25.686833865596483
15.8421413144289;17.940356330803997;10.304696847534768;18.826496881957624;14.88378782747547;21.96814639588556;26.6303474946017
16.64356910724016;19.156023145858292;10.843487464173297;19.289990998238846;15.863291049639436;22.893204342787463;27.57179843964523
17.445445093912;20.371689960912594;11.382278080811835;19.753485114520068;16.842794271803392;23.818262289689372;28.504998648842104
18.286861791532253;21.587356775966892;11.921068697450368;20.21697923080129;17.84157188486003;24.74332023659128;29.438198858038984
21.50619524329668;22.809845410561934;12.459859314088906;20.68047334708251;18.86994945535899;26.064239317198574;30.371399067235878
24.743320236591284;24.03244876220324;12.998649930727439;21.14396746336374;19.898327025857952;27.38515839780586;31.313435630698486
26.72469885750221;25.17154524963028;13.539638792835317;21.607461579644962;20.926704596356917;28.69163869068148;32.63939664618758
28.691638690681494;26.194638317445932;14.125017725799163;22.05544138778015;21.957065673267113;29.998118983557106;33.96535766167667
30.651359129994944;27.217731385261573;14.787217087262121;22.503421195915337;22.991311116899308;31.31343563069848;34.76620544248441
32.46644520938465;28.27011112863965;15.449416448725076;22.951401004050524;24.02629064799584;32.46644520938465;35.56705322329215
33.504153830202235;29.328221355968292;16.111615810188034;23.399380812185715;25.00815699011294;34.3135523489844;36.70827763496402
34.3135523489844;30.38633158329694;16.773815171651005;23.847360620320906;25.87362929752934;35.567053223292156;37.84950204663589
34.94030278613826;31.457559351027044;17.43601453311396;24.295340428456093;26.739101604945727;36.350741972635994;38.99072645830777
35.567053223292156;32.54806291891861;18.13125570753579;24.74332023659128;27.612083794223842;37.13443072197984;40.28164602730259
36.66421747237352;33.63856648681018;18.826496881957627;26.31148136256688;28.507254146092816;37.91811947132368;42.335007740314246
37.76138172145492;35.56705322329215;19.521738056379462;27.879642488542494;29.402273032632433;38.70180822066752;43.60566201128492
38.8585459705363;37.02993888873398;20.2169792308013;29.447803614518108;30.297367651836737;39.48549697001138;44.87631628225559
39.95571021961768;38.49282455417585;20.91222040522313;31.015964740493704;31.19786562550058;40.535445314708106;46.09465852727526
41.94675149109883;39.95571021961768;21.607461579644966;31.939624769126343;32.1203629708926;41.94675149109883;47.177002677076445
43.03956576221624;40.843168824522195;22.306669766889257;32.863284797758986;33.042860316284646;43.1820423389294;50.28799883741537
43.989409606970774;41.704550403450945;23.005877954133563;33.78694482639162;33.96535766167666;44.27436276039712;54.236081978944334
44.93925345172529;42.63313143088423;23.705086141377873;34.710604855024265;35.78005961551754;45.34922057143801;55.221968893619454
45.84830247894043;43.804411138331595;24.404294328622175;35.6342648836569;37.01756876515868;46.36044848607272;56.20785580829459
46.6840795325601;44.975690845778935;25.044726242538996;36.557924912289536;38.25507791479986;47.29088774472392;57.23188127056991
47.49315714877851;46.09465852727526;25.629834281355706;37.48158494092218;39.492587064441004;50.149313351618936;58.38897902960771
50.444441818601156;47.370535406736295;26.21494232017242;38.405244969554815;40.42549096225521;53.5432907219149;59.68606332121453
53.39572648842373;47.94653278749404;26.800050358989143;39.328904998187454;41.17622505545273;54.91060273945202;61.00274161315521
54.76320802494594;48.4481143338314;27.38515839780586;40.25256502682009;41.89164740871506;55.75812234786191;62.319419905095906
55.500181597476285;48.94969588016874;27.99029278825384;41.17622505545273;42.711801818658806;56.6056419562718;63.63609819703657
56.237155170006616;49.45127742650607;28.5954271787018;42.442713652228136;43.70263069134267;57.5363512416477;64.95277648897726
56.974128742536976;49.95285897284344;29.200561569149777;43.70920224900354;44.693459564026504;58.53105258622822;66.26945478091793
57.83908643347656;50.45444051918078;29.80569595959776;44.975690845778935;45.65264085045926;59.66293764705704;68.57142857142858
